,Day,Month,Humidity,Wind,Rain,DMC,DC,Spread,Region,Classes
0,27,9,87,15,4.4,6.5,8.0,0.1,0,0
1,13,9,86,21,4.6,1.3,7.5,0.1,1,0
2,1,9,86,16,0.0,0.9,8.2,0.1,0,0
3,20,6,80,16,0.4,3.4,27.1,0.9,1,0
4,14,6,79,16,0.7,6.4,7.3,0.5,0,0
5,28,9,47,14,0.7,7.1,8.8,1.8,1,0
6,4,7,78,17,0.0,4.6,18.5,2.7,1,0
7,27,9,87,15,4.4,6.5,8.0,0.1,0,0
8,10,7,51,16,3.8,8.0,9.5,2.0,0,0
9,26,7,58,10,0.2,10.8,19.7,1.6,0,0
10,17,6,69,17,4.7,3.9,8.0,1.1,0,0
11,17,6,69,17,4.7,3.9,8.0,1.1,0,0
12,27,7,87,18,0.0,11.8,28.3,2.8,0,0
13,20,9,58,13,0.2,18.7,88.0,2.1,0,0
14,28,9,87,24,0.5,3.5,7.9,0.4,0,0
15,10,7,69,13,0.7,6.0,9.3,1.1,1,0
16,3,6,82,22,7.0,2.5,7.1,0.3,1,0
17,7,7,64,18,0.2,9.7,40.4,2.8,1,0
18,14,9,76,24,7.0,1.1,7.0,0.4,1,0
19,2,6,61,13,1.3,4.1,7.6,1.0,1,0
20,27,7,87,18,0.0,11.8,28.3,2.8,0,0
21,16,7,76,21,0.0,7.0,25.5,0.7,1,0
22,12,8,51,13,0.3,15.6,75.1,2.5,1,0
23,2,6,61,13,1.3,4.1,7.6,1.0,1,0
24,1,6,71,12,0.7,2.5,8.2,0.6,0,0
25,26,9,54,11,0.0,6.0,16.3,2.5,1,0
26,4,7,78,17,0.0,4.6,18.5,2.7,1,0
27,24,7,78,16,0.1,9.6,79.7,1.4,1,0
28,18,6,62,10,7.0,4.6,8.3,0.9,0,0
29,24,9,65,19,0.6,5.5,15.2,1.5,1,0
30,7,7,64,18,0.2,9.7,40.4,2.8,1,0
31,1,8,52,14,0.0,4.4,10.5,2.0,0,0
32,10,9,73,12,1.8,2.2,8.9,0.7,1,0
33,7,8,63,13,2.9,7.2,9.8,1.2,0,0
34,25,9,81,21,5.8,3.0,7.7,0.4,1,0
35,2,9,86,15,7.0,0.7,7.0,0.0,1,0
36,28,8,56,14,0.4,37.0,166.0,2.1,0,0
37,26,9,54,11,0.0,6.0,16.3,2.5,1,0
38,23,6,59,16,0.8,7.0,8.3,1.6,0,0
39,20,6,80,16,0.4,3.4,27.1,0.9,1,0
40,29,9,80,16,1.8,2.9,7.7,0.3,1,0
41,29,9,80,16,1.8,2.9,7.7,0.3,1,0
42,8,9,73,17,0.9,2.6,8.4,1.1,1,0
43,29,9,80,16,1.8,2.9,7.7,0.3,1,0
44,12,9,88,13,0.0,2.6,16.6,1.2,1,0
45,16,9,65,14,0.0,3.2,15.7,1.9,1,0
46,1,6,71,12,0.7,2.5,8.2,0.6,0,0
47,3,6,82,22,7.0,2.5,7.1,0.3,1,0
48,24,9,49,7,2.0,11.9,28.1,0.6,0,0
49,12,9,88,13,0.0,2.6,16.6,1.2,1,0
50,10,6,79,12,0.0,9.5,46.3,1.3,1,0
51,4,7,78,17,0.0,4.6,18.5,2.7,1,0
52,15,6,90,15,0.0,7.2,14.7,1.2,0,0
53,30,8,70,17,0.8,25.2,180.4,1.7,1,0
54,1,7,68,19,1.0,2.5,8.6,1.1,1,0
55,4,6,89,13,2.5,1.3,6.9,0.0,1,0
56,1,8,52,14,0.0,4.4,10.5,2.0,0,0
57,26,9,54,11,0.0,6.0,16.3,2.5,1,0
58,19,6,55,16,0.1,4.5,16.0,2.5,1,0
59,14,6,78,20,0.5,4.6,7.8,1.0,1,0
60,6,8,54,14,3.1,11.0,9.1,1.3,0,0
61,14,9,76,24,7.0,1.1,7.0,0.4,1,0
62,2,6,61,13,1.3,4.1,7.6,1.0,1,0
63,11,7,56,15,2.9,7.1,9.5,1.6,0,0
64,28,8,56,14,0.4,37.0,166.0,2.1,0,0
65,26,9,54,11,0.0,6.0,16.3,2.5,1,0
66,13,6,52,15,2.0,11.4,7.8,1.4,0,0
67,4,9,73,17,0.1,1.9,15.7,1.4,1,0
68,13,6,84,21,1.2,6.7,17.0,0.5,1,0
69,8,9,73,17,0.9,2.6,8.4,1.1,1,0
70,2,8,55,12,0.4,5.8,10.0,1.7,1,0
71,20,6,72,14,0.2,3.8,8.0,0.8,0,0
72,30,6,42,15,1.7,12.0,8.5,2.2,0,0
73,3,8,63,14,0.3,5.7,10.0,1.7,1,0
74,11,9,77,21,1.8,1.9,8.4,1.1,1,0
75,28,9,87,24,0.5,3.5,7.9,0.4,0,0
76,4,6,89,13,2.5,1.3,6.9,0.0,1,0
77,2,6,61,13,1.3,4.1,7.6,1.0,1,0
78,9,6,88,13,0.2,7.9,38.8,0.4,1,0
79,15,9,82,15,0.4,0.9,7.3,0.2,1,0
80,30,9,64,15,0.2,3.8,16.5,1.2,0,0
81,4,6,89,13,2.5,1.3,6.9,0.0,1,0
82,15,9,82,15,0.4,0.9,7.3,0.2,1,0
83,1,9,86,16,0.0,0.9,8.2,0.1,0,0
84,30,9,78,14,1.4,1.9,7.5,0.2,1,0
85,1,7,68,19,1.0,2.5,8.6,1.1,1,0
86,6,8,54,14,3.1,11.0,9.1,1.3,0,0
87,4,9,73,17,0.1,1.9,15.7,1.4,1,0
88,1,8,45,14,0.0,4.8,10.2,2.0,1,0
89,16,6,87,15,0.4,4.2,8.0,0.2,0,0
90,29,9,80,16,1.8,2.9,7.7,0.3,1,0
91,20,9,58,13,0.2,18.7,88.0,2.1,0,0
92,19,6,55,16,0.1,4.5,16.0,2.5,1,0
93,4,9,66,15,0.2,4.1,26.6,1.5,0,0
94,9,9,77,15,1.0,2.1,8.4,0.7,1,0
95,20,6,80,16,0.4,3.4,27.1,0.9,1,0
96,14,6,79,16,0.7,6.4,7.3,0.5,0,0
97,20,6,72,14,0.2,3.8,8.0,0.8,0,0
98,26,7,58,10,0.2,10.8,19.7,1.6,0,0
99,29,9,80,16,1.8,2.9,7.7,0.3,1,0
100,31,8,80,21,7.0,8.7,8.7,0.6,1,0
101,24,7,63,17,1.1,20.9,56.6,1.6,0,0
102,23,6,59,16,0.8,7.0,8.3,1.6,0,0
103,1,7,58,18,2.2,3.2,8.5,1.2,0,0
104,14,9,76,24,7.0,1.1,7.0,0.4,1,0
105,10,7,69,13,0.7,6.0,9.3,1.1,1,0
106,12,7,75,13,0.1,7.9,27.7,1.5,1,0
107,1,8,52,14,0.0,4.4,10.5,2.0,0,0
108,26,9,54,11,0.0,6.0,16.3,2.5,1,0
109,1,9,76,17,7.0,1.3,7.5,0.2,1,0
110,15,7,80,19,0.4,5.2,17.0,1.1,1,0
111,20,6,80,16,0.4,3.4,27.1,0.9,1,0
112,6,9,74,19,0.1,3.6,32.2,2.1,1,0
113,2,6,73,13,4.0,2.7,7.8,0.6,0,0
114,1,8,52,14,0.0,4.4,10.5,2.0,0,0
115,13,6,52,15,2.0,11.4,7.8,1.4,0,0
116,14,6,78,20,0.5,4.6,7.8,1.0,1,0
117,27,7,87,18,0.0,11.8,28.3,2.8,0,0
118,1,6,57,18,0.0,3.4,7.6,1.3,1,0
119,13,6,84,21,1.2,6.7,17.0,0.5,1,0
120,27,7,87,18,0.0,11.8,28.3,2.8,0,0
121,30,9,78,14,1.4,1.9,7.5,0.2,1,0
122,16,6,89,13,0.7,1.7,7.6,0.0,1,0
123,30,6,42,15,1.7,12.0,8.5,2.2,0,0
124,13,6,84,21,1.2,6.7,17.0,0.5,1,0
125,2,8,55,12,0.4,5.8,10.0,1.7,1,0
126,2,8,55,12,0.4,5.8,10.0,1.7,1,0
127,24,7,78,16,0.1,9.6,79.7,1.4,1,0
128,5,6,77,16,0.0,3.0,14.2,1.2,1,0
129,30,9,64,15,0.2,3.8,16.5,1.2,0,0
130,27,9,87,15,4.4,6.5,8.0,0.1,0,0
131,1,9,76,17,7.0,1.3,7.5,0.2,1,0
132,14,7,61,13,0.6,7.8,22.9,1.4,1,0
133,10,6,79,12,0.0,9.5,46.3,1.3,1,0
134,15,6,90,15,0.0,7.2,14.7,1.2,0,0
135,14,6,79,16,0.7,6.4,7.3,0.5,0,0
136,17,6,89,16,0.6,1.1,7.8,0.0,1,0
137,1,8,45,14,0.0,4.8,10.2,2.0,1,0
138,6,6,67,14,0.0,5.8,22.2,3.1,1,1
139,7,6,54,13,0.0,9.9,30.5,6.4,1,1
140,8,6,73,15,0.0,12.1,38.3,5.6,1,1
141,11,6,65,14,0.0,12.5,54.3,4.0,1,1
142,12,6,81,19,0.0,13.8,61.4,4.8,1,1
143,21,6,78,14,0.0,6.3,31.6,2.6,1,1
144,23,6,62,18,0.1,8.2,47.7,3.3,1,1
145,24,6,66,17,0.0,11.2,55.8,5.6,1,1
146,25,6,64,15,0.0,14.2,63.8,5.7,1,1
147,26,6,64,18,0.0,17.8,71.8,6.7,1,1
148,27,6,53,18,0.0,21.6,80.3,9.2,1,1
149,28,6,55,14,0.0,25.5,88.5,7.6,1,1
150,30,6,50,14,0.0,22.9,92.8,7.2,1,1
151,5,7,66,14,0.0,7.6,27.9,4.8,1,1
152,6,7,63,14,0.0,10.9,37.0,5.6,1,1
153,8,7,68,19,0.0,12.5,49.8,6.0,1,1
154,17,7,70,14,0.0,9.4,34.1,3.2,1,1
155,18,7,68,14,0.0,12.1,43.1,4.6,1,1
156,19,7,59,17,0.0,12.0,52.8,7.7,1,1
157,20,7,65,15,0.1,12.3,62.1,2.8,1,1
158,21,7,70,17,0.0,18.5,71.5,5.2,1,1
159,25,7,65,18,0.0,12.5,88.7,4.8,1,1
160,26,7,53,19,0.0,17.1,98.6,10.0,1,1
161,27,7,48,13,0.0,22.2,108.5,8.7,1,1
162,28,7,76,15,0.0,24.4,117.8,5.6,1,1
163,29,7,73,15,0.0,26.7,127.0,5.6,1,1
164,30,7,79,15,0.0,28.5,136.0,4.7,1,1
165,31,7,64,17,0.0,31.9,145.7,6.8,1,1
166,4,8,69,13,0.0,8.2,19.8,4.0,1,1
167,5,8,65,13,0.0,11.1,29.7,5.2,1,1
168,6,8,75,14,0.0,13.0,39.1,5.2,1,1
169,7,8,69,16,0.0,15.5,48.6,5.5,1,1
170,9,8,59,17,0.0,14.8,57.0,6.9,1,1
171,10,8,55,14,0.0,18.6,67.0,7.4,1,1
172,11,8,63,13,0.0,21.7,77.0,7.1,1,1
173,13,8,63,15,0.0,19.0,85.1,5.9,1,1
174,14,8,66,14,0.0,21.7,94.7,5.7,1,1
175,15,8,55,13,0.3,15.6,92.5,3.7,1,1
176,16,8,61,18,0.3,11.7,90.4,2.8,1,1
177,17,8,52,18,0.0,16.0,100.7,9.7,1,1
178,18,8,54,18,0.0,20.0,110.9,9.7,1,1
179,19,8,62,19,0.0,23.2,120.9,9.7,1,1
180,20,8,68,19,0.0,25.9,130.6,8.8,1,1
181,21,8,58,19,0.0,29.6,141.1,9.2,1,1
182,22,8,55,18,0.0,33.5,151.3,9.9,1,1
183,23,8,53,16,0.0,37.6,161.5,10.4,1,1
184,24,8,64,14,0.0,40.5,171.3,9.0,1,1
185,25,8,60,15,0.0,43.9,181.3,8.2,1,1
186,26,8,78,18,0.0,45.6,190.6,4.7,1,1
187,27,8,82,21,0.0,47.0,200.2,4.4,1,1
188,28,8,64,16,0.0,50.2,210.4,7.3,1,1
189,29,8,48,18,0.0,52.0,220.4,12.5,1,1
190,5,9,75,16,0.0,3.4,24.0,2.8,1,1
191,17,9,52,14,0.0,6.4,24.3,6.2,1,1
192,18,9,49,11,0.0,9.8,33.1,6.8,1,1
193,19,9,57,14,0.0,12.5,41.3,7.8,1,1
194,20,9,84,18,0.0,13.5,49.3,4.5,1,1
195,21,9,55,11,0.0,16.5,57.9,5.4,1,1
196,27,9,66,11,0.0,8.3,24.9,4.0,1,1
197,6,6,54,11,0.1,8.4,26.3,3.1,0,1
198,7,6,44,17,0.2,9.9,28.9,5.4,0,1
199,10,6,41,15,0.0,13.3,22.5,8.4,0,1
200,11,6,42,21,0.0,18.2,30.5,13.4,0,1
201,12,6,58,17,0.0,21.3,37.8,8.7,0,1
202,21,6,55,14,0.0,8.3,18.4,5.0,0,1
203,24,6,68,16,0.0,10.0,17.0,4.9,0,1
204,25,6,70,16,0.0,12.8,25.6,5.4,0,1
205,26,6,62,16,0.0,16.5,34.5,7.0,0,1
206,27,6,55,15,0.0,20.9,43.3,8.0,0,1
207,28,6,37,13,0.0,27.2,52.4,11.7,0,1
208,29,6,36,13,0.6,17.9,36.7,4.8,0,1
209,2,7,48,16,0.0,7.9,17.8,6.8,0,1
210,3,7,56,17,0.1,9.7,27.3,4.7,0,1
211,4,7,58,18,0.0,13.6,36.8,8.0,0,1
212,5,7,45,18,0.0,18.7,46.4,11.3,0,1
213,6,7,42,15,0.3,15.5,45.1,4.3,0,1
214,7,7,43,13,0.5,13.0,35.4,4.1,0,1
215,8,7,47,18,6.0,9.8,9.7,3.1,0,1
216,9,7,43,15,1.9,9.4,9.9,3.2,0,1
217,12,7,44,13,0.0,12.6,19.4,8.3,0,1
218,13,7,45,13,0.6,11.3,10.4,4.2,0,1
220,15,7,45,17,0.0,18.0,24.1,10.9,0,1
221,16,7,83,17,0.0,19.4,33.1,4.7,0,1
222,17,7,81,17,0.0,21.1,42.3,4.7,0,1
223,18,7,68,15,0.0,23.9,51.6,5.2,0,1
224,19,7,58,16,0.0,27.8,61.1,7.3,0,1
225,20,7,50,16,0.0,32.7,71.0,9.5,0,1
226,21,7,29,18,0.0,39.6,80.6,18.5,0,1
227,22,7,48,18,0.0,44.2,90.1,13.2,0,1
228,23,7,71,17,0.0,46.6,99.0,6.9,0,1
229,28,7,57,16,0.0,15.7,37.6,6.7,0,1
230,29,7,59,16,0.0,19.5,47.2,7.4,0,1
231,30,7,56,16,0.0,23.8,57.1,8.2,0,1
232,31,7,55,15,0.0,28.3,67.2,8.3,0,1
233,2,8,34,14,0.0,10.8,21.4,13.8,0,1
234,3,8,33,17,0.0,17.1,32.1,17.2,0,1
235,4,8,35,15,0.0,23.0,42.7,15.7,0,1
236,5,8,42,17,0.1,23.6,52.5,19.0,0,1
237,8,8,56,11,0.0,11.2,20.2,5.2,0,1
238,9,8,43,12,0.0,16.5,30.9,9.6,0,1
239,10,8,39,15,0.2,15.8,35.4,8.2,0,1
240,11,8,31,15,0.0,22.5,46.3,16.6,0,1
241,12,8,21,17,0.4,18.4,41.5,15.5,0,1
242,13,8,34,16,0.2,16.9,45.1,7.5,0,1
243,14,8,40,13,0.0,22.3,55.5,10.8,0,1
244,15,8,46,13,0.3,16.9,54.2,3.5,0,1
245,16,8,41,10,0.1,22.6,65.1,9.5,0,1
246,17,8,24,9,0.0,30.3,76.4,15.7,0,1
247,18,8,37,14,0.0,35.9,86.8,16.0,0,1
248,19,8,66,15,0.1,32.7,96.8,3.3,0,1
249,20,8,81,15,0.0,34.4,107.0,3.8,0,1
250,21,8,71,15,0.0,36.9,117.1,5.1,0,1
251,22,8,53,14,0.0,41.1,127.5,8.0,0,1
252,23,8,43,16,0.0,46.1,137.7,11.5,0,1
253,24,8,38,15,0.0,51.3,147.7,12.2,0,1
254,25,8,40,18,0.0,52.0,157.5,14.3,0,1
255,26,8,37,16,0.0,52.0,167.2,13.1,0,1
256,27,8,54,14,0.0,52.0,177.3,10.0,0,1
257,29,8,53,17,0.5,20.7,149.2,2.7,0,1
258,30,8,49,15,0.0,24.8,159.1,8.1,0,1
259,31,8,59,19,0.0,27.8,168.2,9.8,0,1
260,3,9,75,16,0.0,4.4,24.3,3.3,0,1
261,7,9,62,15,0.0,5.8,17.7,3.8,0,1
262,8,9,88,14,0.0,6.6,26.1,3.0,0,1
263,9,9,80,15,0.0,7.9,34.5,3.5,0,1
264,12,9,72,14,0.0,8.3,25.2,3.8,0,1
265,13,9,49,19,0.0,11.5,33.4,9.1,0,1
266,14,9,81,15,0.0,12.6,41.5,4.3,0,1
267,15,9,51,13,0.0,16.0,50.2,6.9,0,1
268,16,9,26,13,0.0,21.2,59.2,14.2,0,1
269,17,9,44,12,0.0,25.2,63.3,11.2,0,1
270,18,9,33,13,0.1,25.8,77.8,9.0,0,1
271,19,9,41,8,0.1,24.9,86.0,2.7,0,1
272,21,9,34,17,0.0,23.6,97.3,13.8,0,1
273,22,9,64,13,0.0,26.1,106.3,7.1,0,1
274,23,9,56,14,0.0,29.4,115.6,7.5,0,1
275,26,9,65,14,0.0,16.0,44.5,4.5,0,1
